cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR1221G,-9,-6,-2,1,2,-10,-1,2,-5,-7,-6,-7,12,0,8,0,-5,-2,8,6,2
32DPR0350U,-5,-3,1,3,2,-4,4,5,-9,0,2,-1,-3,-12,2,0,2,-2,10,11,-1
32EPR0162Z,12,-3,19,-28,-21,15,3,12,16,13,-22,5,-10,-7,-15,-2,-3,4,-5,-3,9
32DPR0466U,2,-5,-13,2,0,1,-1,-1,1,-1,-1,-1,6,-4,0,0,2,4,-4,4,-16
32DPR1338F,-30,0,3,-15,-8,22,8,2,-5,-4,-21,-10,-1,5,-8,-1,0,-5,-17,-4,7
32EPR0010V,5,26,18,-31,-41,28,59,31,-28,-30,-51,-51,34,-5,-49,-24,40,-22,-16,2,-2
32DPR0551R,-2,4,3,-9,-3,-5,-1,-2,7,-3,-1,1,5,5,0,0,-13,6,3,-1,3
32DPR1774G,-2,27,54,29,14,20,9,18,-12,23,0,15,-40,-16,-17,-2,-2,19,2,3,22
32DPR0139Z,1,-1,11,-12,7,1,2,-3,-3,-6,-3,-5,-3,-2,4,7,-9,-6,9,-3,-2
32DPR0224X,-12,-4,2,4,-6,-3,6,3,2,-1,1,-1,-5,5,-2,-6,-1,3,4,-4,-8
32DPR1689J,-7,-6,-6,-2,-5,-4,-8,3,8,5,7,5,10,-8,-3,5,11,2,0,10,1
32DPR0442K,6,5,0,-3,7,3,0,-4,11,-1,-3,-3,10,1,-22,-9,4,-7,0,5,-11
32DPR0357N,-14,-1,2,-5,-7,-7,-4,0,-8,-2,-5,-4,2,1,0,-2,-1,-1,-1,0,-1
32DPR0200N,-17,-2,-10,-14,-28,-10,7,-4,0,-20,-6,-16,-1,-14,23,23,3,10,21,-20,-24
32DPR0115Q,-27,9,-24,-5,-23,8,32,-30,-4,-3,47,-21,29,5,21,15,-10,22,11,9,-5
