cct,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32EJN0549L,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0604P,2,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1
32DJN0519S,3,4,3,3,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4
32DJN0291E,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,3,4,4,3,3,3,4
32EJN0500T,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1077U,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,3,2,1,1,1,1,1
32DJN0627Z,3,2,3,3,3,3,2,3,3,3,3,2,2,3,2,2,2,2,1,1,1,1
32DJN1270Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN1053K,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,1,1,1,1
32DJN0073R,4,4,5,5,6,6,7,7,8,8,9,8,8,9,8,8,8,9,9,7,7,8
32DJN1607T,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,3,1,1,1,1
32DJN0607M,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6
32DJN1251K,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0295A,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2
32EJN0308N,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0053D,8,8,9,10,9,9,9,9,10,9,9,9,9,9,9,9,10,10,10,10,10,10
32DJN1275U,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32PJN0041D,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN1032Y,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN0076O,3,4,3,3,3,4,3,2,2,2,2,2,2,4,3,4,3,5,3,3,3,3
32DJN0161L,3,3,3,2,2,1,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32EJN0501S,3,3,4,4,5,5,6,6,7,7,8,8,8,9,9,9,9,8,8,9,9,9
32EJN0526A,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,4
32DJN0270S,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1
32EJN0610Z,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0185V,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,2,2,2
32DJN1056H,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1141E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0099Z,9,9,10,10,10,10,10,10,11,10,10,10,10,10,11,10,11,10,10,10,10,10
32DJN0184W,4,4,4,5,6,6,7,6,4,6,7,6,6,6,7,5,6,5,6,6,6,6
32DJN1252J,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32EJN0309M,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0606N,3,3,3,3,3,4,4,6,6,5,6,7,7,6,6,7,6,7,6,7,6,6
32DJN1031Z,3,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,3,3,1,1,1,1
32EJN0418T,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,3,2,3,1,1,1,1
32EJN0503Q,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32PJN0040E,5,6,6,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1188Z,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,1,1,1,1
32DJN0294B,5,4,4,4,4,4,6,5,6,4,3,4,4,5,6,5,5,5,5,4,4,4
32DJN0052E,5,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
32DJN0051F,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0629Y,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32EJN0417U,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32EJN0502R,4,4,5,4,4,4,5,5,5,5,4,5,5,5,5,4,4,4,4,4,5,5
32DJN1079S,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
32DJN0160M,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,6,6,6,6,6,6
32DJN0075P,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,2,2,2
32DJN1140F,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2
32DJN0609K,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,5,6,6,6,6,6
32DJN0296Z,4,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2
32DJN1059E,3,3,2,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2
32DJN0055B,6,6,6,6,6,6,6,7,8,7,7,8,8,8,9,8,8,8,8,8,8,8
32EJN0504P,4,5,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,7,7,7,7,7
32DJN0491C,3,4,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3
32PJN0043B,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,3
32DJN1034W,2,3,3,3,2,1,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3
32DJN1273W,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1
32EJN0527Z,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,1,1,1,1
32DJN0078M,4,4,3,3,3,3,3,4,4,4,5,3,3,3,4,4,5,4,4,4,4,4
32DJN0163J,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0490D,3,3,3,3,5,3,4,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4
32DJN0272Q,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0187T,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2
32DJN1167M,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0030T,8,8,7,7,8,8,9,9,9,9,10,9,9,10,9,9,11,11,10,11,10,10
32DJN1143C,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3
32DJN0608L,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,1,1,1,1
32DJN0380Y,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32DJN0054C,6,8,6,6,7,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6
